texto_tweet,texto_procesado,Mencion_Gobierno,Sentimiento
¡Atención! @ElMercurio_cl y @CajaLosAndes destacaron a #CongresoFuturo como una de las 70 organizaciones inspiradoras y de alto impacto que proponen ideas disruptivas para crear valor social que mejore la calidad de vida de las personas. https://t.co/z6EE581U3n,¡atención!  y  destacaron a #congresofuturo como una de las 70 organizaciones inspiradoras y de alto impacto que proponen ideas disruptivas para crear valor social que mejore la calidad de vida de las personas. ,No,Muy positivo
"@CajaLosAndes el dia 9 de abril fui a  @Cinepoliscl y no me aceptaron el codigo para la compra de entradas, sera porque era estreno?? Tuve que pagar precio normal 🙄"," el dia 9 de abril fui a   y no me aceptaron el codigo para la compra de entradas, sera porque era estreno?? tuve que pagar precio normal 🙄",No,Muy negativo
"@CajaLosAndes Hola, Les envié DM para que me puedan ayudar con un tema por favor."," hola, les envié dm para que me puedan ayudar con un tema por favor.",No,Neutral
"@CajaLosAndes hola, necesito saber en que tramo de carga familiar estoy  si en A, B. Ya que en la app no me muestra. Sldos"," hola, necesito saber en que tramo de carga familiar estoy  si en a, b. ya que en la app no me muestra. sldos",No,Neutral
"Convenio DIVBIE - Caja Los Andes

Para el personal Institucional  activo o en condición de retiro y su grupo familiar que se encuentre afiliado. Más información 👉🏻 https://t.co/6kjWUwSnWE

Síguenos en Instagram @divisiondebienestar y en Facebook https://t.co/gzbNFzHaNM https://t.co/yZcQT9B7zH",convenio divbie - caja los andes  para el personal institucional  activo o en condición de retiro y su grupo familiar que se encuentre afiliado. más información 👉🏻   síguenos en instagram  y en facebook  ,No,Positivo
"RT @IgualesChile: 🏅Fuimos reconocid@s por @ElMercurio_cl y @CajaLosAndes en el Especial de Innovación Social como una de las ""70 iniciativa…","  🏅fuimos reconocid@s por  y  en el especial de innovación social como una de las ""70 iniciativa…",No,Muy positivo
"@CajaLosAndes Buen día, les escribo porque nuevamente no logro encontrar el descuento de cinepolis, a veces a parece y otras veces no. Favor de su ayuda, gracias!"," buen día, les escribo porque nuevamente no logro encontrar el descuento de cinepolis, a veces a parece y otras veces no. favor de su ayuda, gracias!",No,Muy positivo
"@CajaLosAndes por ley y cito "" D.F.L. N° 44, citado en Fuentes, norma que los subsidios se deben
pagar, por lo menos, con la misma periodicidad que la remuneración, sin que pueda ser, en caso
alguno, superior a un mes."" @SUSESOChile , indica que no mas de 72 hrs,para pagar 2 cuota de LME"," por ley y cito "" d.f.l. n° 44, citado en fuentes, norma que los subsidios se deben pagar, por lo menos, con la misma periodicidad que la remuneración, sin que pueda ser, en caso alguno, superior a un mes.""  , indica que no mas de 72 hrs,para pagar 2 cuota de lme",No,Muy negativo
"Hola a todos!, espero que estén teniendo una buena semana.

Por si no se habían dado cuenta, estoy participando en una startup que se llama apanio, que tiene como propósito acortar la brecha digital de los microempresarios de Chile…https://t.co/bepUDTAY4C https://t.co/1gQ04v1CF0","hola a todos!, espero que estén teniendo una buena semana.  por si no se habían dado cuenta, estoy participando en una startup que se llama apanio, que tiene como propósito acortar la brecha digital de los microempresarios de chile…https://t.co/bepudtay4c ",No,Muy positivo
"@CajaLosAndes Hola, envié un DM, ¿me pueden ayudar?"," hola, envié un dm, ¿me pueden ayudar?",No,Muy positivo
